artist_name,track_name,album_name,release_year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Taylor Swift,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.00942,0.757,0.61,3.66E-05,0.367,-4.84,0.0327,116.998,0.685,70,212600
Taylor Swift,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.0885,0.733,0.733,0,0.168,-5.376,0.067,96.057,0.701,71,231833
Taylor Swift,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.000421,0.511,0.822,0.0197,0.0899,-4.785,0.0397,94.868,0.305,72,231000
Taylor Swift,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.000537,0.545,0.885,5.59E-05,0.385,-5.968,0.0447,92.021,0.206,71,235800
Taylor Swift,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.000656,0.588,0.721,0,0.131,-5.579,0.0317,96.997,0.52,70,193289
Taylor Swift,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.0121,0.636,0.808,2.18E-05,0.359,-5.693,0.0729,160.058,0.917,69,219209
Taylor Swift,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.00354,0.67,0.858,1.25E-05,0.0687,-6.528,0.0439,118.009,0.539,69,207650
Taylor Swift,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.0362,0.618,0.683,0,0.305,-6.438,0.194,169.971,0.363,68,211103
Taylor Swift,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.0436,0.589,0.674,7.18E-05,0.112,-7.48,0.0656,139.985,0.514,69,220433
Taylor Swift,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.00196,0.758,0.691,1.09E-05,0.0939,-5.798,0.0515,119.997,0.538,68,247533
Taylor Swift,This Love (Taylor__ Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.316,0.471,0.509,0,0.0673,-8.796,0.0355,144.071,0.0567,67,250100
Taylor Swift,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.0999,0.582,0.788,0,0.115,-5.358,0.0445,160.027,0.652,69,195700
Taylor Swift,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.25,0.772,0.391,2.92E-05,0.0981,-8.892,0.0293,103.955,0.258,69,271000
Taylor Swift,Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.00976,0.464,0.705,2.61E-05,0.209,-5.97,0.0434,183.892,0.385,68,245566
Taylor Swift,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.61,0.363,0.498,3.91E-06,0.112,-9.473,0.0755,84.68,0.477,69,267389
Taylor Swift,New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.00675,0.649,0.846,4.63E-06,0.0824,-5.958,0.0602,121.978,0.698,69,230177
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],27/10/23,0.309,0.591,0.412,0.000199,0.0608,-13.27,0.0863,155.875,0.328,73,180381
Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/23,0.066,0.633,0.551,9.94E-06,0.127,-8.297,0.0341,109.95,0.164,72,279833
Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/23,0.16,0.8,0.501,7.14E-05,0.0874,-9.332,0.034,110.013,0.0831,73,146436
Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/23,0.207,0.701,0.625,0,0.105,-8.804,0.036,118.036,0.323,70,171818
Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/23,0.041,0.595,0.656,0,0.122,-7.343,0.037,99.994,0.191,76,229477
Taylor Swift,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/23,0.0104,0.602,0.648,0,0.217,-6.905,0.103,170.091,0.174,78,199773
Taylor Swift,Welcome To New York (Taylor's Version),1989 (Taylor's Version),26/10/23,0.00961,0.761,0.607,2.24E-05,0.367,-4.83,0.0312,116.98,0.674,80,212600
Taylor Swift,Blank Space (Taylor's Version),1989 (Taylor's Version),26/10/23,0.0976,0.737,0.725,0,0.174,-5.417,0.0641,96.012,0.755,85,231833
Taylor Swift,Style (Taylor's Version),1989 (Taylor's Version),26/10/23,0.000418,0.575,0.824,0.0214,0.0901,-4.823,0.038,94.971,0.292,86,231000
Taylor Swift,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),26/10/23,0.000512,0.547,0.885,9.37E-05,0.39,-5.961,0.0418,91.992,0.192,82,235800
Taylor Swift,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),26/10/23,0.000718,0.586,0.72,0,0.0949,-5.556,0.035,97.057,0.481,79,193289
Taylor Swift,Shake It Off (Taylor's Version),1989 (Taylor's Version),26/10/23,0.0103,0.632,0.807,1.27E-05,0.29,-5.676,0.0738,160.055,0.921,82,219209
Taylor Swift,I Wish You Would (Taylor's Version),1989 (Taylor's Version),26/10/23,0.00357,0.669,0.851,1.04E-05,0.0676,-6.526,0.0432,118.026,0.541,78,207650
Taylor Swift,Bad Blood (Taylor's Version),1989 (Taylor's Version),26/10/23,0.0385,0.619,0.686,0,0.307,-6.369,0.164,169.943,0.364,78,211103
Taylor Swift,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),26/10/23,0.0411,0.581,0.672,9.35E-05,0.118,-7.415,0.0739,140.061,0.514,83,220433
Taylor Swift,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),26/10/23,0.00209,0.754,0.682,9.88E-06,0.0941,-5.789,0.0565,120.027,0.547,76,247533
Taylor Swift,This Love (Taylor__ Version),1989 (Taylor's Version),26/10/23,0.299,0.474,0.511,0,0.0673,-8.766,0.0339,144.022,0.0586,76,250100
Taylor Swift,I Know Places (Taylor's Version),1989 (Taylor's Version),26/10/23,0.087,0.575,0.803,0,0.0971,-5.393,0.0465,160.039,0.68,76,195700
Taylor Swift,Clean (Taylor's Version),1989 (Taylor's Version),26/10/23,0.276,0.771,0.386,2.01E-05,0.121,-8.917,0.0297,103.96,0.239,79,271000
Taylor Swift,Wonderland (Taylor's Version),1989 (Taylor's Version),26/10/23,0.00933,0.462,0.708,1.88E-05,0.198,-5.971,0.0555,183.811,0.337,76,245566
Taylor Swift,You Are In Love (Taylor's Version),1989 (Taylor's Version),26/10/23,0.609,0.537,0.495,2.49E-06,0.112,-9.416,0.0573,84.948,0.492,76,267389
Taylor Swift,New Romantics (Taylor's Version),1989 (Taylor's Version),26/10/23,0.0068,0.651,0.855,9.81E-06,0.0759,-5.959,0.0538,121.98,0.698,82,230177
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),26/10/23,0.345,0.629,0.413,7.62E-05,0.0603,-13.178,0.055,77.983,0.306,87,180381
Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),26/10/23,0.0656,0.626,0.547,1.67E-05,0.149,-8.285,0.0342,109.946,0.192,83,279833
Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),26/10/23,0.186,0.793,0.512,3.81E-05,0.0889,-9.319,0.0338,109.994,0.0662,87,146436
Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),26/10/23,0.198,0.699,0.621,0,0.104,-8.739,0.0369,118.048,0.344,78,171818
Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),26/10/23,0.0504,0.596,0.658,0,0.127,-7.346,0.036,100.012,0.176,91,229477
Taylor Swift,Mine (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.00444,0.646,0.783,1.38E-06,0.171,-2.846,0.0356,121.08,0.49,82,231706
Taylor Swift,Sparks Fly (Taylor__ Version),Speak Now (Taylor's Version),07/07/23,0.0251,0.588,0.758,0,0.131,-2.347,0.0305,114.991,0.387,78,261230
Taylor Swift,Back To December (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.00621,0.497,0.635,0,0.117,-3.927,0.0273,142.063,0.203,82,294189
Taylor Swift,Speak Now (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.248,0.727,0.677,0,0.143,-2.871,0.0325,118.995,0.639,76,242473
Taylor Swift,Dear John (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.0236,0.419,0.47,0,0.163,-5.016,0.0296,119.294,0.133,77,405906
Taylor Swift,Mean (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.311,0.524,0.692,0,0.192,-3.866,0.0369,163.874,0.621,77,238693
Taylor Swift,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.00192,0.515,0.781,0,0.054,-2.608,0.0535,139.846,0.57,76,267653
Taylor Swift,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.851,0.685,0.323,0,0.198,-7.103,0.0289,125.058,0.569,72,292920
Taylor Swift,Enchanted (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.012,0.505,0.532,0,0.149,-3.526,0.0265,81.907,0.216,86,353253
Taylor Swift,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.000886,0.496,0.885,0,0.191,-2.969,0.0803,145.863,0.665,78,220306
Taylor Swift,Innocent (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.101,0.522,0.598,0,0.152,-5.327,0.0284,133.627,0.149,70,301221
Taylor Swift,Haunted (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.00667,0.427,0.915,0,0.221,-1.909,0.0619,162.201,0.355,75,245413
Taylor Swift,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.447,0.55,0.366,4.43E-06,0.101,-8.46,0.0276,79.401,0.16,75,369120
Taylor Swift,Long Live (Taylor's Version),Speak Now (Taylor's Version),07/07/23,0.0122,0.375,0.65,0,0.189,-4.031,0.0402,203.89,0.0752,80,317960
Taylor Swift,Ours (Taylor__ Version),Speak Now (Taylor's Version),07/07/23,0.449,0.535,0.488,0,0.111,-8.261,0.0278,159.813,0.348,72,235803
Taylor Swift,Superman (Taylor__ Version),Speak Now (Taylor's Version),07/07/23,0.0031,0.533,0.742,0,0.108,-3.473,0.0303,131.93,0.356,69,274945
Taylor Swift,Electric Touch (feat. Fall Out Boy) (Taylor__ Version) (From The Vault),Speak Now (Taylor's Version),07/07/23,0.0164,0.547,0.855,0,0.144,-4.7,0.0597,131.073,0.282,75,266466
Taylor Swift,When Emma Falls in Love (Taylor__ Version) (From The Vault),Speak Now (Taylor's Version),07/07/23,0.159,0.474,0.763,0,0.138,-4.632,0.0505,78.133,0.231,74,252385
Taylor Swift,I Can See You (Taylor__ Version) (From The Vault),Speak Now (Taylor's Version),07/07/23,0.0586,0.694,0.764,0,0.0608,-4.893,0.0337,123.044,0.819,82,273186
Taylor Swift,Castles Crumbling (feat. Hayley Williams) (Taylor__ Version) (From The Vault),Speak Now (Taylor's Version),07/07/23,0.362,0.576,0.57,0,0.0668,-7.925,0.0434,147.803,0.378,74,306062
Taylor Swift,Foolish One (Taylor__ Version) (From The Vault),Speak Now (Taylor's Version),07/07/23,0.617,0.671,0.588,0,0.111,-4.675,0.0299,96.965,0.543,76,311765
Taylor Swift,Timeless (Taylor__ Version) (From The Vault),Speak Now (Taylor's Version),07/07/23,0.3,0.624,0.585,0,0.0916,-5.847,0.0328,142.883,0.65,75,321396
Taylor Swift,Lavender Haze,Midnights (The Til Dawn Edition),26/05/23,0.236,0.735,0.454,0.00113,0.133,-10.516,0.0876,97.043,0.0751,71,202395
Taylor Swift,Maroon,Midnights (The Til Dawn Edition),26/05/23,0.0609,0.65,0.397,1.40E-06,0.089,-8.237,0.0365,108.055,0.0382,71,218270
Taylor Swift,Anti-Hero,Midnights (The Til Dawn Edition),26/05/23,0.115,0.637,0.649,1.22E-06,0.147,-6.59,0.0584,96.935,0.497,70,200690
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),26/05/23,0.705,0.653,0.331,0.0013,0.116,-13.534,0.039,110.014,0.166,68,256124
Taylor Swift,"You're On Your Own, Kid",Midnights (The Til Dawn Edition),26/05/23,0.423,0.694,0.386,1.05E-05,0.126,-10.312,0.0597,120.044,0.39,71,194206
Taylor Swift,Midnight Rain,Midnights (The Til Dawn Edition),26/05/23,0.705,0.654,0.372,6.78E-05,0.114,-11.704,0.0667,140.15,0.198,70,174782
Taylor Swift,Question...?,Midnights (The Til Dawn Edition),26/05/23,0.205,0.741,0.509,0,0.262,-8.747,0.19,108.978,0.113,68,210556
Taylor Swift,Vigilante Shit,Midnights (The Til Dawn Edition),26/05/23,0.157,0.867,0.272,3.42E-05,0.118,-11.014,0.363,79.962,0.157,70,164801
Taylor Swift,Bejeweled,Midnights (The Til Dawn Edition),26/05/23,0.0648,0.695,0.546,0.000128,0.0883,-9.184,0.066,164,0.425,70,194165
Taylor Swift,Labyrinth,Midnights (The Til Dawn Edition),26/05/23,0.804,0.493,0.308,0.328,0.123,-15.489,0.0436,109.993,0.13,69,247962
Taylor Swift,Karma,Midnights (The Til Dawn Edition),26/05/23,0.0782,0.647,0.614,0,0.611,-7.091,0.0651,90.034,0.0956,70,204852
Taylor Swift,Sweet Nothing,Midnights (The Til Dawn Edition),26/05/23,0.967,0.335,0.166,0.00012,0.115,-14.958,0.048,175.917,0.391,68,188496
Taylor Swift,Mastermind,Midnights (The Til Dawn Edition),26/05/23,0.545,0.661,0.345,0.000915,0.0871,-14.037,0.144,125.977,0.126,69,191039
Taylor Swift,The Great War,Midnights (The Til Dawn Edition),26/05/23,0.203,0.573,0.737,2.78E-05,0.0851,-9.002,0.0352,96.009,0.592,69,240355
Taylor Swift,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),26/05/23,0.837,0.48,0.22,0.00269,0.116,-12.469,0.0425,82.951,0.0633,68,218502
Taylor Swift,Paris,Midnights (The Til Dawn Edition),26/05/23,0.116,0.691,0.498,3.07E-05,0.136,-10.519,0.101,110.963,0.454,67,196258
Taylor Swift,High Infidelity,Midnights (The Til Dawn Edition),26/05/23,0.726,0.564,0.545,0,0.0878,-10.17,0.104,176.082,0.766,67,231475
Taylor Swift,Glitch,Midnights (The Til Dawn Edition),26/05/23,0.318,0.677,0.451,0,0.11,-9.744,0.19,140.845,0.399,66,148781
Taylor Swift,"Would've, Could've, Should've",Midnights (The Til Dawn Edition),26/05/23,0.435,0.482,0.837,0.00147,0.123,-6.501,0.12,157.96,0.534,69,260361
Taylor Swift,Dear Reader,Midnights (The Til Dawn Edition),26/05/23,0.497,0.475,0.386,0.00104,0.119,-12.038,0.0737,107.601,0.162,67,225194
Taylor Swift,Hits Different,Midnights (The Til Dawn Edition),26/05/23,0.148,0.672,0.782,4.73E-06,0.296,-6.499,0.0421,106.026,0.239,81,234466
Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),26/05/23,0.806,0.664,0.401,3.50E-06,0.108,-10.934,0.0344,109.846,0.315,81,229942
Taylor Swift,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),26/05/23,0.0623,0.615,0.616,0,0.579,-6.523,0.0622,89.977,0.0734,73,201493
Taylor Swift,Lavender Haze,Midnights (3am Edition),22/10/22,0.204,0.735,0.444,0.0012,0.17,-10.519,0.0684,97.038,0.0984,69,202395
Taylor Swift,Maroon,Midnights (3am Edition),22/10/22,0.0593,0.658,0.378,0,0.0976,-8.3,0.0379,108.034,0.0382,69,218270
Taylor Swift,Anti-Hero,Midnights (3am Edition),22/10/22,0.133,0.638,0.634,1.23E-06,0.152,-6.582,0.0457,96.953,0.519,70,200690
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),22/10/22,0.735,0.659,0.323,0.00321,0.116,-13.425,0.0436,110.007,0.154,69,256124
Taylor Swift,"You're On Your Own, Kid",Midnights (3am Edition),22/10/22,0.416,0.694,0.38,8.47E-06,0.126,-10.307,0.0614,120.044,0.376,70,194206
Taylor Swift,Midnight Rain,Midnights (3am Edition),22/10/22,0.71,0.636,0.377,6.51E-05,0.115,-11.721,0.0708,139.966,0.23,69,174782
Taylor Swift,Question...?,Midnights (3am Edition),22/10/22,0.226,0.751,0.502,0,0.297,-8.777,0.162,108.989,0.112,66,210556
Taylor Swift,Vigilante Shit,Midnights (3am Edition),22/10/22,0.16,0.87,0.279,1.74E-05,0.121,-11.134,0.364,79.996,0.16,69,164801
Taylor Swift,Bejeweled,Midnights (3am Edition),22/10/22,0.0661,0.7,0.55,0.000102,0.091,-9.13,0.0653,164.003,0.412,70,194165
Taylor Swift,Labyrinth,Midnights (3am Edition),22/10/22,0.791,0.487,0.313,0.348,0.124,-15.434,0.0487,110.039,0.141,66,247962
Taylor Swift,Karma,Midnights (3am Edition),22/10/22,0.074,0.649,0.622,0,0.594,-7.054,0.0582,90.024,0.106,75,204852
Taylor Swift,Sweet Nothing,Midnights (3am Edition),22/10/22,0.967,0.334,0.161,4.71E-05,0.115,-14.875,0.0506,176.747,0.396,67,188496
Taylor Swift,Mastermind,Midnights (3am Edition),22/10/22,0.571,0.661,0.352,0.00147,0.0884,-14.077,0.117,125.934,0.13,74,191039
Taylor Swift,The Great War,Midnights (3am Edition),22/10/22,0.219,0.573,0.741,2.23E-05,0.0842,-8.987,0.0353,96.016,0.554,75,240355
Taylor Swift,Bigger Than The Whole Sky,Midnights (3am Edition),22/10/22,0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,165.71,0.068,73,218502
Taylor Swift,Paris,Midnights (3am Edition),22/10/22,0.112,0.7,0.509,3.27E-05,0.137,-10.547,0.0789,110.947,0.345,72,196258
Taylor Swift,High Infidelity,Midnights (3am Edition),22/10/22,0.723,0.646,0.529,0,0.0885,-10.179,0.0864,87.862,0.755,71,231475
Taylor Swift,Glitch,Midnights (3am Edition),22/10/22,0.361,0.675,0.466,0,0.11,-9.738,0.201,140.864,0.347,70,148781
Taylor Swift,"Would've, Could've, Should've",Midnights (3am Edition),22/10/22,0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,157.979,0.55,75,260361
Taylor Swift,Dear Reader,Midnights (3am Edition),22/10/22,0.481,0.562,0.388,0.00145,0.117,-12.088,0.0705,107.747,0.159,71,225194
Taylor Swift,Lavender Haze,Midnights,21/10/22,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,84,202395
Taylor Swift,Maroon,Midnights,21/10/22,0.0573,0.637,0.398,1.03E-06,0.101,-8.294,0.0564,108.075,0.0374,79,218270
Taylor Swift,Anti-Hero,Midnights,21/10/22,0.13,0.637,0.643,1.80E-06,0.142,-6.571,0.0519,97.008,0.533,92,200690
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights,21/10/22,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,77,256124
Taylor Swift,"You're On Your Own, Kid",Midnights,21/10/22,0.401,0.696,0.396,5.20E-06,0.125,-10.289,0.0656,120.041,0.38,85,194206
Taylor Swift,Midnight Rain,Midnights,21/10/22,0.69,0.643,0.363,5.17E-05,0.115,-11.738,0.0767,139.865,0.23,84,174782
Taylor Swift,Question...?,Midnights,21/10/22,0.2,0.751,0.502,0,0.296,-8.763,0.167,108.943,0.106,74,210556
Taylor Swift,Vigilante Shit,Midnights,21/10/22,0.173,0.798,0.277,5.25E-05,0.121,-11.096,0.39,79.846,0.163,80,164801
Taylor Swift,Bejeweled,Midnights,21/10/22,0.0618,0.696,0.559,5.58E-05,0.0887,-9.19,0.0693,163.999,0.433,84,194165
Taylor Swift,Labyrinth,Midnights,21/10/22,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,110.014,0.122,77,247962
Taylor Swift,Karma,Midnights,21/10/22,0.0734,0.642,0.62,0,0.483,-7.091,0.0666,90.02,0.0969,88,204852
Taylor Swift,Sweet Nothing,Midnights,21/10/22,0.964,0.337,0.156,7.72E-05,0.115,-14.919,0.0518,176.655,0.39,76,188496
Taylor Swift,Mastermind,Midnights,21/10/22,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,78,191039
Taylor Swift,State Of Grace (Taylor's Version),Red (Taylor's Version),12/11/21,0.000328,0.594,0.713,0,0.114,-5.314,0.0503,129.958,0.328,72,295413
Taylor Swift,Red (Taylor's Version),Red (Taylor's Version),12/11/21,0.00108,0.516,0.777,1.62E-06,0.0761,-4.908,0.0375,125.047,0.408,80,223093
Taylor Swift,Treacherous (Taylor's Version),Red (Taylor's Version),12/11/21,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,72,242720
Taylor Swift,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),12/11/21,0.0129,0.584,0.557,0,0.0576,-6.371,0.0342,154.008,0.767,81,219760
Taylor Swift,All Too Well (Taylor's Version),Red (Taylor's Version),12/11/21,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,77,329160
Taylor Swift,22 (Taylor's Version),Red (Taylor's Version),12/11/21,0.000443,0.642,0.695,1.02E-05,0.0753,-5.62,0.0281,103.984,0.642,80,230960
